id,name,state_before,date_order,amount_total,n_lines
481,S00481,draft,2023-05-24 11:09:33,20000.0,1
482,S00482,draft,2023-05-25 10:27:49,0.0,0
483,S00483,draft,2023-05-25 10:29:30,0.0,0
484,S00484,draft,2023-05-25 20:10:39,29800.0,1
485,S00485,draft,2023-05-26 10:47:20,4000.0,1
494,S00494,draft,2023-05-27 13:49:42,251900.0,25
496,S00496,draft,2023-05-27 23:58:14,47500.0,2
497,S00497,draft,2023-05-28 07:02:03,6000.0,1
498,S00498,draft,2023-05-28 12:43:45,0.0,0
499,S00499,draft,2023-05-28 19:25:03,18000.0,1
501,S00501,draft,2023-05-29 16:25:41,0.0,0
511,S00511,draft,2023-05-30 23:07:04,6000.0,1
514,S00514,draft,2023-06-01 20:44:16,27400.0,4
515,S00515,draft,2023-06-02 00:47:28,24000.0,1
522,S00522,draft,2023-06-03 22:55:08,9000.0,1
523,S00523,draft,2023-06-04 01:32:18,21000.0,1
524,S00524,draft,2023-06-05 00:12:26,0.0,0
525,S00525,draft,2023-06-05 04:41:09,43300.0,6
532,S00532,draft,2023-06-05 22:29:56,25000.0,1
533,S00533,draft,2023-06-06 01:13:12,29000.0,1
534,S00534,draft,2023-06-06 12:56:24,8000.0,1
536,S00536,draft,2023-06-07 11:23:28,4000.0,1
541,S00541,draft,2023-06-07 19:31:52,11800.0,3
543,S00543,draft,2023-06-09 18:50:35,13000.0,1
548,S00548,draft,2023-06-10 02:00:50,65000.0,1
550,S00550,draft,2023-06-10 18:09:28,4500.0,1
551,S00551,draft,2023-06-10 20:47:27,5000.0,1
552,S00552,draft,2023-06-11 03:12:20,40000.0,2
553,S00553,draft,2023-06-11 05:16:22,0.0,0
554,S00554,draft,2023-06-11 11:26:13,0.0,0
555,S00555,draft,2023-06-11 16:18:17,0.0,0
556,S00556,draft,2023-06-11 17:08:19,0.0,0
558,S00558,draft,2023-06-11 18:53:08,13000.0,1
559,S00559,draft,2023-06-12 01:15:59,16000.0,1
